pID,pName,culture,adventure,wildlife,sightseeing,history,tags,province,latitude,longitude
259,Lower Mustang trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks",4,,
260,Kali Gandaki valley trek,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks, village",4,,
261,Jomsom to Muktinath trek,0.8,0.8,0.4,1,0.4,"hiking, trekking, hills, mountains, landmarks, village, hindu, temple",4,,
262,Muktinath ,1,0.6,0,0.8,0.6,"hindu, temple, mountains, hills",4,28.8169164,83.8714547
263,Todke,0.6,0.4,0.2,0.8,0,"Village, hills, mountains, trekking, hiking",4,28.24896,82.6625701
264,Jagannath Temple,1,0,0,0.6,0.6,"Hindu, temple, art",4,23.31688845,85.2818037794309
265,Galeshwor Dham,0.8,0,0,0.6,0.6,"hindu, temple",4,,
266,Maharani Than,0.6,0,0,0.6,0.6,"hindu, temple",4,,
267,Malika Dhuri,0.8,0.4,0,1,0.2,"hills, mountains, hindu, temple",4,28.63674,81.93922
268,Karbakeli footpath,0.8,0.8,0.6,1,0.4,"hiking, trekking, hills, mountains, landmarks, village",4,,
269,Singa Tatopani Kunda,0.4,0.4,0,0.6,0.2,"pond, landmarks",4,,
270,Kaligandaki River,0,0,0.2,0.8,0.6,"river, landmarks",4,27.930913037574,83.8627347759648
